"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C6,C8","0.1uF","~","Capacitor_SMD:C_0603_1608Metric","4",""
"C2,C3","100uF","~","Capacitor_SMD:CP_Elec_3x5.3","2",""
"C5","10nF","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","1",""
"C7,C9,C10","10uF","~","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","3",""
"C11,C12,C13","1uF","~","-- mixed values --","3",""
"J1","Screw_Terminal_01x02","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1",""
"J4","USB_C_Receptacle_USB2.0_16P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1",""
"J5","U.FL-R-SMT_01_","","UFL CONNECTOR:HRS_U.FL-R-SMT_01_","1",""
"Q1,Q2","S8050","http://www.unisonic.com.tw/datasheet/S8050.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R2,R3","10kR","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","2",""
"R4,R5","5.21kR","~","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","2",""
"U1","LM2596S-3.3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
"U2","ESP32-WROVER-E-N4R8","","ESP32-WROVER-E-N4R8:XCVR_ESP32-WROVER-E-N4R8","1",""
"U3","CP2102N-Axx-xQFN24","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1",""
"U5","SX1278","https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/2R0000001Rbr/6EfVZUorrpoKFfvaF_Fkpgp5kzjiNyiAbqcpqh9qSjE","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm","1",""
